rok,stan_fips,stan_nazwa,populacja_total,pct_ponizej_18lat,pct_powyzej_65lat,mediana_dochodu_gosp_dom,pct_ubóstwo,pct_zatrudnieni,pct_bezrobocie,pct_dojazd_samochod,pct_dojazd_carpool,pct_dojazd_transport_pub,pct_dojazd_pieszo,pct_praca_z_domu,sredni_czas_dojazdu_min,pct_wyksztalcenie_srednie,pct_wyksztalcenie_wyzsze,pct_bez_ubezpieczenia,liczba_jednostek_mieszkalnych,pct_mieszkania_wynajmowane,liczba_gospodarstw_domowych,pct_gospodarstwa_z_dziecmi,pct_dostep_internet
2015,FIPS:31,Nebraska,1896190,50.7,0.2,54996,8.5,66.8,2.2,82.0,9.0,0.8,2.8,3.9,18.4,30.2,1420024,91.8,820925,65.9,744159,,78.1
2015,FIPS:32,Nevada,2890845,50.2,0.0,52431,10.9,58.1,5.0,77.8,10.5,3.7,2.2,3.7,24.2,23.6,2213809,87.7,1209864,54.0,1042065,,79.0
2015,FIPS:33,New Hampshire,1330608,51.0,,70303,5.0,64.7,2.9,81.1,7.5,0.9,2.7,6.5,27.6,35.7,1065371,93.7,622604,70.9,517615,,84.5
2015,FIPS:34,New Jersey,8958013,51.8,0.0,72222,8.1,60.8,4.3,71.8,7.5,11.6,3.3,4.1,31.3,37.6,6949555,91.3,3593722,63.0,3187963,,81.6
2015,FIPS:35,New Mexico,2085109,50.8,0.1,45382,14.8,53.6,4.3,81.4,9.0,0.9,2.3,4.8,21.7,26.5,1576068,89.1,914979,67.5,761797,,67.2
2015,FIPS:36,New York,19795791,52.1,0.0,60850,11.6,59.0,4.1,52.7,6.6,28.6,6.3,4.0,33.1,35.0,15559562,92.9,8207161,53.1,7233694,,77.8
2015,FIPS:37,North Carolina,10042802,52.0,0.0,47830,11.8,56.8,4.2,81.4,9.4,1.1,1.8,5.0,24.3,29.4,7679713,88.8,4491090,63.9,3843745,,74.1
2015,FIPS:38,North Dakota,756928,48.6,1.4,60557,6.9,67.1,1.8,82.0,8.6,0.4,3.8,4.5,16.6,29.1,579034,92.2,362889,61.7,313475,,76.3
2015,FIPS:39,Ohio,11613423,51.7,0.0,51075,10.7,59.1,4.0,83.2,7.8,1.8,2.4,3.7,23.4,26.8,8976756,93.5,5156546,65.4,4606655,,76.1
2015,FIPS:40,Oklahoma,3911338,51.0,0.0,48568,11.7,57.4,3.3,82.5,10.2,0.4,1.7,3.7,21.4,24.6,2932482,86.1,1711515,65.3,1465951,,70.8
2015,FIPS:41,Oregon,4028977,51.0,0.1,54148,9.9,57.6,4.2,71.2,10.2,4.8,3.8,6.3,23.6,32.2,3165858,93.0,1718509,61.1,1553205,,80.8
2015,FIPS:42,Pennsylvania,12802503,51.7,0.0,55702,9.1,58.6,3.9,76.3,8.5,5.7,3.9,4.2,26.8,29.7,10107183,93.6,5603051,68.7,4956037,,75.7
2015,FIPS:44,Rhode Island,1056298,52.2,,58073,10.1,60.3,4.0,79.0,9.7,2.9,3.7,3.3,24.7,32.7,841955,94.3,462555,59.0,407484,,78.2
2015,FIPS:45,South Carolina,4896146,52.1,0.0,47238,12.1,55.1,4.3,83.0,9.3,0.5,2.0,3.8,24.2,26.8,3778952,89.1,2210150,68.1,1857768,,69.9
2015,FIPS:46,South Dakota,858469,50.2,7.0,53017,8.3,65.1,2.7,80.6,8.4,0.8,3.1,5.8,16.9,27.5,646426,89.8,380307,68.2,339437,,75.3
2015,FIPS:47,Tennessee,6600299,51.9,0.0,47275,12.3,56.8,3.8,83.9,9.0,0.8,1.2,3.8,24.8,25.7,5087320,89.7,2892407,65.8,2530260,,70.2
2015,FIPS:48,Texas,27469114,50.9,0.0,55653,12.2,60.3,3.5,80.8,10.2,1.5,1.6,4.4,26.3,28.4,20163908,82.9,10588236,61.1,9421412,,74.3
2015,FIPS:50,Vermont,626042,51.2,,56990,5.8,62.9,2.5,76.9,8.2,1.3,5.8,6.1,23.0,36.9,505626,96.2,326874,70.7,254865,,78.7
2015,FIPS:49,Utah,2995919,50.2,0.0,62912,8.3,64.9,2.7,75.8,11.2,2.7,2.8,5.5,21.3,31.8,2080608,89.5,1038065,68.9,930980,,83.1
2015,FIPS:51,Virginia,8382993,51.3,0.0,66262,7.8,60.7,3.5,77.5,9.1,4.7,2.3,4.6,28.2,37.0,6393937,90.9,3468952,65.0,3106895,,78.6
2015,FIPS:53,Washington,7170351,50.3,0.0,64129,7.9,59.2,3.8,72.4,9.8,6.2,3.7,5.6,27.1,34.2,5512875,93.4,2991584,62.4,2728573,,83.9
2015,FIPS:54,West Virginia,1844128,51.1,,42019,13.5,49.0,3.9,82.7,8.7,1.1,2.7,3.2,25.5,19.6,1463863,94.0,885539,72.3,734536,,69.8
2015,FIPS:55,Wisconsin,5771337,50.8,0.0,55638,7.9,64.0,2.8,81.2,7.9,1.9,3.2,4.1,22.0,28.4,4476648,94.3,2656669,66.8,2319538,,76.9
2015,FIPS:56,Wyoming,586107,49.8,0.1,60214,6.7,64.1,3.3,77.3,10.0,2.2,4.6,4.2,19.0,26.2,444435,88.5,269469,68.0,228937,,77.8
2015,FIPS:01,Alabama,4858979,52.3,0.0,44765,13.7,52.6,4.1,85.5,9.0,0.3,1.1,3.2,24.6,24.2,3741136,89.9,2218391,67.9,1846390,,68.3
2015,FIPS:02,Alaska,738432,47.0,0.1,73355,7.0,62.1,5.3,67.9,12.6,1.5,7.9,4.4,19.2,29.7,534293,85.1,309453,63.9,250185,,81.7
2015,FIPS:04,Arizona,6828065,50.8,0.0,51492,12.5,54.5,4.0,77.1,10.6,2.1,2.1,5.5,25.1,27.7,5188920,89.2,2929173,61.9,2463008,,78.1
2015,FIPS:05,Arkansas,2978204,51.6,0.0,41995,13.7,54.0,3.3,82.6,10.8,0.5,1.8,3.1,22.1,21.8,2267419,90.5,1347598,65.2,1144663,,64.2
2015,FIPS:06,California,39144818,50.8,0.0,64500,11.3,58.1,4.6,73.9,10.0,5.2,2.7,5.5,28.9,32.3,29905521,91.4,13988399,53.6,12896357,,81.3
2015,FIPS:08,Colorado,5456574,50.0,0.1,63909,7.6,63.8,3.5,76.5,8.4,3.0,2.8,7.1,25.4,39.2,4168802,91.9,2309122,63.7,2074735,,83.0
